"id_tps"	"name"	"sex"	"set"	"nat"	"age"	"weight"	"height"	"Attractiveness"	"Sextypicality"	"Asymmetry"	"Distinctiveness"	"SATRA"
"0"	"F01"	"F"	"BRAZ"	"BRAZ"	29	59	169	2.83333	-0.592687708297307	0.158970091764316	0.0559941098394375	-0.0448402386908253
"1"	"F02"	"F"	"BRAZ"	"BRAZ"	26	61	164	2.66667	-0.603839788248266	0.142338129449026	0.0560349220152084	-0.257545147799972
"2"	"F03"	"F"	"BRAZ"	"BRAZ"	26	54	173	3.20833	0.794313405972284	0.141849413329906	0.044998713763917	0.433764951012343
"3"	"F04"	"F"	"BRAZ"	"BRAZ"	26	56	162	1.75	0.592608580830953	0.144766486376832	0.0569508676604887	-1.42747319912051
"4"	"F05"	"F"	"BRAZ"	"BRAZ"	31	56	165	3.20833	0.123090686896428	0.142390463945627	0.0511760385307611	0.433764951012343
"5"	"F06"	"F"	"BRAZ"	"BRAZ"	99	54	160	2.16667	-1.42709294616703	0.14314851001993	0.0709595418200058	-0.895685400737529
"6"	"F07"	"F"	"BRAZ"	"BRAZ"	32	57	162	2.54167	-0.151252224189799	0.143579515412739	0.0385713764418666	-0.417080211034361
"7"	"F08"	"F"	"BRAZ"	"BRAZ"	31	58	168	2.95833	0.127870346251349	0.149652179551433	0.0487314514312788	0.114694824543564
"8"	"F09"	"F"	"BRAZ"	"BRAZ"	25	43	160	3.08333	0.9937806873047	0.140387132998922	0.0478677307567706	0.274229887777953
"9"	"F10"	"F"	"BRAZ"	"BRAZ"	23	56	167	4.5	-0.759246444946131	0.143374363625315	0.0484110789749112	2.08229819203605
"10"	"F11"	"F"	"BRAZ"	"BRAZ"	21	70	157	2	-0.0887483581860047	0.157808418023854	0.0606833385972681	-1.10840307265173
"11"	"F12"	"F"	"BRAZ"	"BRAZ"	20	48	157	4.125	-0.015915649050629	0.141832895342834	0.0371361046199933	1.60369300233288
"12"	"F13"	"F"	"BRAZ"	"BRAZ"	23	62	163	3.125	0.693428575630349	0.142535470964728	0.0508622601544432	0.327412496457769
"13"	"F14"	"F"	"BRAZ"	"BRAZ"	25	52	157	2.58333	0.346977777433655	0.145299599289656	0.0466787048077165	-0.363910365159604
"14"	"F15"	"F"	"BRAZ"	"BRAZ"	32	41	152	3.16667	1.13159949557668	0.146434173876966	0.0508518384565799	0.380595105137585
"15"	"F16"	"F"	"BRAZ"	"BRAZ"	30	45	156	2.41667	0.301144567323364	0.142958920593311	0.040147162923556	-0.576615274268751
"16"	"F17"	"F"	"BRAZ"	"BRAZ"	27	47	156	3.29167	0.194369382587912	0.145454230450286	0.0472560559519922	0.540130168371974
"17"	"F18"	"F"	"BRAZ"	"BRAZ"	23	65	166	3.08333	0.0793572810064653	0.143537660622835	0.0423317328672022	0.274229887777953
"18"	"F19"	"F"	"BRAZ"	"BRAZ"	21	53	167	3.25	0.0462885919793037	0.145095767609149	0.0356133344499515	0.486947559692158
"19"	"F20"	"F"	"BRAZ"	"BRAZ"	21	51	162	4.41667	0.87766440272398	0.149988055397244	0.0660798751900655	1.97594573748148
"20"	"F22"	"F"	"BRAZ"	"BRAZ"	20	64	167	3.20833	-0.635699989194862	0.142030904600762	0.0397019604104247	0.433764951012343
"21"	"F23"	"F"	"BRAZ"	"BRAZ"	30	62	176	3.95833	0.387231717727788	0.142119815079867	0.0394998287025381	1.39097533041868
"22"	"F24"	"F"	"BRAZ"	"BRAZ"	32	60	159	1.83333	0.97842198663375	0.150693616893682	0.0557354290753564	-1.32112074456594
"23"	"F25"	"F"	"BRAZ"	"BRAZ"	30	51	158	1.45833	-0.867810261405499	0.145930474127596	0.102948449535458	-1.79972593426911
"24"	"F26"	"F"	"BRAZ"	"BRAZ"	26	77	164	1.41667	-1.52848226982046	0.165383801178086	0.0757133237912818	-1.85289578014387
"25"	"F27"	"F"	"BRAZ"	"BRAZ"	19	53	165	4.25	0.38231765839362	0.142214430882398	0.0419973283832238	1.76322806556727
"26"	"F28"	"F"	"BRAZ"	"BRAZ"	19	50	156	2.33333	1.83909169081149	0.150284654572995	0.0690673395049735	-0.682980491628382
