Rater	M01	M02	M03	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M28	M33	M34	M35	M36	M37	M38	M39	M40	M41	M42	M43	M44	M45	M46	M47	M48a	M48b	M49	M50	M51	M52	M53	M54
R1	2	1	4	2	1	4	2	5	3	3	5	2	2	1	3	3	3	2	4	2	5	2	2	4	3	2	3	3	4	2	4	2	2	4	2	3	1	2	2	1	1	2	1	2	1	5	2	3	4
R2	5	1	7	2	1	3	5	5	1	4	2	6	4	2	4	3	1	2	2	3	2	2	1	6	1	2	3	3	4	1	1	1	2	2	5	2	3	1	1	3	3	1	5	2	4	7	1	1	3
R3	1	1	7	1	1	6	1	7	7	1	3	2	5	1	3	1	1	1	1	1	1	1	1	2	1	1	4	7	1	1	5	1	1	7	5	3	1	1	1	5	1	1	1	1	1	7	1	6	2
R4	2	2	3	1	1	2	2	3	2	2	2	4	3	2	3	1	4	1	2	2	3	3	2	2	1	2	1	4	2	2	3	2	2	3	4	2	2	2	1	3	1	1	3	1	1	4	1	1	4
R5	1	1	1	1	1	1	2	7	4	2	7	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1
R6	1	1	5	1	1	3	1	4	1	1	2	1	2	1	1	1	2	1	1	1	1	1	4	4	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	4
R7	1	1	1	1	1	1	1	7	1	3	1	1	3	1	1	1	1	1	1	1	1	2	2	6	1	1	1	1	1	1	1	1	1	4	1	1	5	1	1	1	1	1	3	1	3	5	1	5	5
R8	1	1	3	1	1	1	1	4	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
R9	2	1	6	3	2	1	3	3	1	1	3	4	2	2	2	1	4	1	4	4	5	2	5	3	1	3	2	3	2	2	4	1	4	4	3	4	1	1	1	3	3	1	2	1	1	1	2	3	3
R10	2	1	3	2	1	3	1	4	4	2	2	1	3	2	1	3	2	1	4	1	3	4	4	1	1	4	3	4	1	1	3	2	1	5	2	2	2	1	1	3	3	1	1	1	1	5	2	2	3
R11	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2
R12	2	2	4	3	2	2	3	4	2	2	2	3	2	2	3	3	2	2	2	2	2	3	2	4	2	3	2	3	2	2	2	3	2	3	2	3	2	2	2	3	2	2	2	2	2	3	2	3	2
R13	1	1	3	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	4	1	1	3	1	1	2	1	2	1	1	1	1	1	1	1	1	1	5	1	1	2
R14	1	1	2	1	1	1	1	2	1	3	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
R15	3	1	6	1	1	3	1	5	3	2	5	1	2	1	1	3	1	1	5	1	4	2	1	3	1	3	1	6	1	4	4	1	3	4	2	1	1	1	1	1	1	1	1	1	1	6	1	3	2
R16	1	2	5	1	1	1	1	3	2	3	2	3	3	1	3	2	2	1	5	3	3	3	2	2	2	3	3	3	2	2	3	2	3	2	4	4	1	2	1	4	3	3	2	2	2	4	2	2	5
R17	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
R18	1	1	1	1	1	2	1	3	1	1	1	2	1	1	1	1	3	1	1	1	2	3	1	5	1	2	1	4	1	1	1	2	1	1	1	5	1	1	1	2	2	1	1	1	1	4	1	1	4
R19	1	1	4	1	1	1	2	4	1	1	2	2	1	1	4	1	1	1	1	1	1	1	1	3	1	1	1	3	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	3	1	1	1
R20	3	1	3	1	1	2	1	4	1	1	2	1	1	2	1	3	1	1	1	1	2	1	2	3	2	2	2	1	1	1	2	2	1	5	1	2	1	1	1	1	6	1	3	3	3	6	1	4	2
R21	4	2	7	3	1	4	3	6	2	4	6	4	2	3	4	4	4	2	3	4	5	3	2	6	1	3	7	6	2	5	3	5	4	6	5	3	4	1	2	4	3	2	3	5	6	7	2	2	6
R22	1	1	5	1	1	3	1	4	3	1	3	2	1	1	1	1	2	1	2	1	4	1	1	4	1	1	3	2	3	1	3	1	1	4	1	1	1	3	3	1	1	1	3	1	3	4	1	2	5
R23	3	2	3	1	2	3	3	5	2	1	4	2	2	1	2	2	2	1	1	3	1	1	2	5	1	2	1	2	3	1	2	3	3	3	2	2	1	1	2	2	3	4	3	2	3	5	2	4	5
R24	1	1	5	5	1	4	1	3	2	2	4	1	1	2	1	3	2	1	2	3	1	3	3	3	1	4	3	2	2	2	1	2	2	1	4	3	1	1	1	2	2	2	1	2	3	3	1	4	7
R25	1	1	6	3	1	3	1	6	2	2	3	3	3	1	2	1	3	1	5	2	3	2	3	3	1	2	3	2	3	2	3	2	4	5	3	5	2	2	1	6	2	2	3	2	3	5	1	3	1
R26	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1	2	1	1	1	1	4	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	3	1	2	2
R27	1	1	3	1	1	1	3	2	3	3	1	2	2	1	3	1	2	1	1	3	5	1	1	2	1	1	1	4	3	1	1	1	2	3	2	4	1	1	1	2	3	1	3	2	5	5	1	3	3
