Rater	101F	102F	103F	104F	105F	106F	113F	114F	115F	116F	117F	118F	125F	126F	127F	128F	129F	130F	131F	132F	133F	134F	135F	136F	143F	144F	145F	146F	147F	148F	167F	168F	169F	170F	171F	172F	173F	174F	175F	176F	178F	185F	194F	195F	196F	197F	198F	199F	200F	201F
CMR1	6	6	4	4	5	6	6	5	5	4	5	4	6	4	4	5	4	5	5	4	4	6	5	5	4	5	4	6	6	4	6	6	5	5	6	5	6	4	5	5	5	6	3	6	5	4	5	5	6	6
CMR2	7	5	4	4	6	5	7	6	4	4	6	7	7	7	5	5	7	3	7	3	4	6	4	4	4	4	6	6	6	5	6	7	7	4	3	4	5	5	6	6	5	6	4	5	7	5	4	5	7	7
CMR3	3	4	1	1	1	4	2	5	7	2	2	2	4	6	7	7	3	5	5	5	2	2	7	6	4	1	7	3	3	3	7	2	6	1	7	2	3	1	7	6	2	5	1	6	5	1	6	5	7	7
CMR4	5	2	2	2	1	2	4	2	4	2	2	5	2	3	2	3	1	2	4	2	2	3	2	3	2	2	3	3	2	2	2	3	2	2	2	4	2	1	4	4	1	3	1	3	4	2	3	3	3	4
CMR5	5	3	4	2	3	5	6	3	5	2	4	4	4	3	4	3	2	6	1	2	5	2	4	2	4	3	2	5	5	4	5	2	2	2	2	3	2	2	3	2	4	3	3	4	3	3	2	4	4	6
CMR6	5	3	1	2	3	3	4	5	4	2	2	2	2	2	2	3	4	2	5	2	2	6	3	3	4	3	3	4	3	3	4	2	3	5	3	5	2	2	5	4	2	5	1	3	3	2	1	3	4	6
CMR7	5	5	3	4	3	6	6	4	2	5	6	2	6	3	6	6	5	2	5	4	3	5	6	3	3	4	5	5	6	3	4	5	3	2	3	5	5	4	6	5	3	6	3	1	6	4	1	4	7	7
CMR8	1	3	1	1	1	1	3	2	6	1	1	1	7	1	1	4	2	1	2	1	1	2	1	2	1	1	2	1	1	1	1	3	1	1	1	4	1	1	7	3	1	1	1	1	1	1	1	2	1	7
CMR9	4	3	2	3	3	3	5	5	5	2	4	5	4	3	2	5	3	2	3	2	3	6	4	3	3	3	2	5	3	2	4	4	3	1	5	4	5	3	6	3	4	3	2	3	4	3	2	4	6	6
CMR10	6	4	2	2	3	4	5	2	4	2	2	5	5	2	5	3	3	3	6	2	2	4	5	3	6	3	3	5	5	3	3	2	3	2	2	4	2	2	3	7	2	6	2	3	2	3	2	2	6	7
CMR11	3	2	2	2	3	3	5	2	6	3	3	5	2	3	2	4	3	3	2	3	3	4	3	5	4	2	2	3	4	4	4	4	3	4	4	6	3	3	7	4	4	3	1	2	5	3	4	3	4	5
CMR12	3	3	1	3	3	4	5	4	5	4	3	3	3	3	4	4	4	3	3	3	3	5	4	3	5	4	4	4	5	3	3	2	3	2	4	3	4	3	5	2	4	3	1	5	4	3	1	3	5	5
CMR13	5	4	4	3	3	3	5	3	4	3	3	4	3	3	3	5	2	4	5	3	5	4	3	2	2	3	4	4	3	3	3	4	5	4	3	3	3	3	6	3	4	3	4	2	3	3	3	4	5	6
CMR14	4	3	1	3	3	6	3	3	3	2	3	2	3	3	2	4	3	3	5	2	3	3	3	3	3	3	3	3	3	2	4	2	3	3	3	4	3	2	3	2	3	4	2	2	3	2	1	2	5	3
CMR15	4	3	1	3	4	4	3	3	4	3	2	2	3	3	1	3	3	2	4	3	3	3	3	3	5	3	2	4	3	3	3	2	3	3	4	3	3	1	4	3	2	4	1	3	3	2	2	3	4	5
CMR16	4	2	1	2	2	2	4	3	3	2	2	3	5	1	2	4	2	2	2	1	3	4	3	3	3	3	3	4	2	2	3	1	4	2	4	4	3	1	4	3	2	4	1	3	3	2	1	2	5	6
CMR17	7	2	2	5	1	2	4	6	2	1	2	4	3	2	2	2	2	2	4	2	2	3	1	5	7	1	3	7	4	2	3	1	3	3	3	4	3	1	2	2	1	5	5	2	3	2	1	3	6	7
CMR18	6	3	3	3	2	1	4	3	4	2	2	4	3	2	2	2	5	2	2	1	2	2	2	3	1	3	2	2	3	3	2	2	6	6	3	7	4	2	6	3	1	3	2	1	5	2	3	3	6	6
CMR19	6	4	2	3	2	4	5	6	5	1	4	5	5	5	5	4	2	5	5	2	5	4	4	3	6	3	4	5	5	4	5	3	3	3	3	4	4	3	4	4	4	5	2	4	5	3	5	5	7	7
CMR20	5	4	3	2	2	3	5	6	4	3	2	2	4	2	4	3	4	4	2	3	2	2	2	3	3	4	3	4	4	4	5	3	2	2	4	4	3	2	4	2	3	3	2	3	3	4	3	3	5	5
CMR21	4	3	1	3	2	1	4	5	3	3	2	2	2	3	3	4	4	2	5	2	2	6	2	3	2	3	3	4	3	2	3	2	2	3	4	4	3	1	4	3	3	5	1	2	5	2	1	4	6	5
CMR22	3	4	2	2	3	3	5	5	5	3	2	3	5	2	4	5	3	4	3	2	3	3	2	3	4	3	2	3	4	3	4	3	3	3	4	4	2	2	4	4	4	3	2	3	2	2	2	4	4	4
CMR23	4	3	1	2	3	2	7	6	2	2	2	2	4	2	4	4	4	2	3	2	3	3	4	3	2	3	4	3	3	3	3	2	3	1	4	3	3	2	2	3	3	3	1	1	4	2	2	2	5	5
CMR24	5	3	3	4	4	2	3	4	4	1	4	4	3	2	3	3	3	3	3	3	3	4	3	2	4	2	3	4	3	3	4	4	3	2	2	3	3	1	3	3	3	3	3	3	5	2	2	3	4	4
CMR25	3	2	1	3	3	3	2	4	4	3	2	4	2	2	2	3	2	3	3	4	3	2	2	3	3	1	2	3	3	2	3	3	3	2	3	4	3	2	4	2	3	3	1	3	2	3	3	2	4	3
CMR26	3	4	2	2	2	3	6	6	6	3	1	3	4	4	5	3	3	4	4	5	4	2	5	3	4	3	3	4	6	2	4	2	3	2	3	2	4	1	2	4	5	3	1	3	3	1	3	2	7	6
CMR27	4	5	2	2	3	4	5	4	6	4	5	4	4	5	5	5	4	4	3	4	4	4	4	5	4	5	3	5	4	4	5	4	4	4	4	5	4	3	5	4	5	5	4	4	4	5	3	4	4	5
CMR28	4	3	2	1	3	3	5	3	5	2	4	4	3	2	3	4	3	4	1	2	2	2	2	3	4	2	2	3	3	2	3	2	3	2	2	4	2	1	3	2	4	2	2	4	3	2	4	3	3	5
CMR29	2	1	1	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	3	2	2	1	1	2	1	2	1	2	2	1	1	2	3	3
CMR30	3	2	2	2	3	3	3	4	5	2	2	4	3	3	3	4	3	2	3	2	2	5	4	4	2	2	3	4	2	3	5	4	4	3	3	4	4	3	5	4	5	4	2	4	5	3	2	3	5	6
CMR31	2	2	2	2	2	2	2	3	2	2	1	2	3	2	1	3	2	2	2	2	2	3	2	2	3	3	2	2	2	2	2	3	2	2	3	2	2	1	2	2	2	2	2	2	3	2	1	2	3	4
