Rater	107M	108M	109M	110M	111M	112M	119M	120M	121M	122M	123M	124M	137M	138M	139M	140M	141M	142M	149M	150M	151M	152M	153M	154M	155M	156M	157M	158M	159M	160M	161M	162M	163M	164M	165M	166M	179M	180M	181M	182M	183M	184M	186M	187M	188M	189M	190M	191M	192M	193M
CMR1	3	1	5	3	4	2	5	5	6	4	6	1	1	4	6	5	4	3	3	4	3	3	3	4	2	6	3	2	6	4	5	4	1	2	4	4	4	1	3	1	5	1	3	1	3	5	3	5	2	3
CMR2	1	1	1	3	2	1	2	1	4	1	2	1	1	1	2	1	1	3	1	1	1	1	1	4	2	2	1	1	3	1	5	1	1	1	1	3	1	3	1	1	2	1	1	1	1	1	1	1	3	4
CMR3	1	1	1	5	1	1	1	5	3	1	1	1	1	1	1	4	1	1	1	2	1	1	1	1	1	1	1	1	2	2	4	1	1	2	1	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1
CMR4	3	2	4	4	3	2	2	4	4	3	4	3	3	4	4	4	3	4	2	3	3	3	3	4	2	3	3	3	4	4	5	4	3	3	3	4	3	2	3	3	3	2	4	3	2	3	3	3	3	3
CMR5	2	3	3	6	2	2	3	2	6	2	4	2	4	2	2	4	2	2	2	2	2	2	3	6	2	5	4	2	4	2	5	2	2	3	2	5	2	4	2	2	3	3	5	2	2	4	2	3	3	2
CMR6	6	4	6	6	7	6	7	6	7	6	7	3	4	7	7	7	6	7	4	7	7	6	5	7	7	7	6	4	7	6	7	7	6	6	6	7	7	5	6	7	6	6	6	6	7	6	7	7	6	6
CMR7	2	2	3	7	3	3	2	5	5	3	3	2	2	2	7	6	3	5	4	4	4	2	2	2	4	2	3	2	5	6	6	6	5	2	3	7	3	3	2	2	5	3	2	4	5	2	2	4	2	5
CMR8	1	1	2	6	2	2	6	3	6	2	2	2	1	3	6	6	1	3	2	3	2	1	2	1	6	3	2	3	4	6	7	2	2	2	1	4	2	2	1	2	2	2	3	2	1	3	2	2	4	1
CMR9	4	3	4	5	3	3	4	4	4	3	4	4	2	4	5	5	2	5	4	4	2	4	3	3	3	4	4	4	4	4	5	4	2	4	3	5	3	2	4	3	4	3	5	3	3	4	3	3	2	3
CMR10	4	4	5	5	5	3	3	5	4	5	5	5	4	6	5	4	3	3	3	3	5	2	3	5	6	4	5	5	5	3	4	5	4	5	4	5	3	3	5	2	3	4	5	2	2	6	4	5	4	4
CMR11	4	4	5	6	4	5	4	4	5	4	4	4	4	5	5	6	4	6	4	5	4	4	5	5	4	7	4	4	7	5	5	6	4	4	4	5	5	4	5	3	7	4	6	6	4	5	5	4	4	5
CMR12	2	1	2	5	2	4	2	1	5	3	1	1	1	5	2	3	1	2	3	3	2	1	2	1	1	4	1	1	6	4	5	5	1	1	1	4	3	1	2	1	2	1	4	3	1	4	3	3	1	3
CMR13	5	4	5	6	5	5	4	5	6	5	5	4	5	5	6	6	3	5	4	5	5	4	5	6	6	6	3	4	5	6	7	5	2	3	5	6	4	4	5	2	5	6	5	6	3	5	5	6	5	5
CMR14	1	1	2	4	2	3	2	3	4	3	2	1	1	3	2	3	1	3	2	4	2	1	1	2	3	3	1	2	2	3	3	5	2	4	2	3	2	1	2	1	2	1	3	2	2	4	2	1	3	2
CMR15	2	2	4	4	3	2	3	3	4	3	3	2	2	3	4	3	3	4	2	3	3	3	3	3	3	3	3	3	4	3	4	3	2	3	3	3	3	3	3	3	2	3	3	2	3	4	3	3	2	3
CMR16	2	2	3	3	3	2	2	2	4	3	3	2	2	3	3	4	2	3	2	3	3	2	2	3	2	3	2	2	5	2	3	3	2	2	2	4	3	2	2	2	2	3	3	2	3	2	2	2	2	3
CMR17	2	2	4	6	3	3	5	4	5	4	4	2	2	2	6	3	2	3	3	4	1	3	4	4	5	6	4	3	5	3	6	2	2	2	2	3	2	2	4	2	5	3	3	2	3	2	2	1	1	3
CMR18	2	1	4	7	3	5	4	5	7	4	4	1	4	4	4	6	2	5	2	3	2	3	2	4	3	3	4	3	6	5	3	6	3	2	2	6	3	1	3	1	5	6	6	5	4	6	6	2	3	4
CMR19	4	3	4	6	4	5	5	6	6	4	5	3	4	2	5	5	3	4	3	4	4	4	4	6	5	5	4	4	5	5	7	5	4	3	3	5	4	4	3	3	5	4	5	3	5	5	4	2	4	3
CMR20	1	2	3	5	3	3	3	3	3	3	2	2	1	1	4	3	3	3	2	3	2	1	2	4	5	3	3	2	5	3	7	3	2	2	3	5	2	3	3	2	3	2	5	3	3	3	3	3	2	4
CMR21	1	1	3	6	6	6	3	6	3	3	3	2	2	2	5	6	2	6	1	2	3	1	1	1	5	4	7	2	5	6	5	4	4	3	2	6	2	1	4	3	1	5	5	3	2	5	3	5	1	1
CMR22	2	3	6	6	3	6	6	5	7	6	5	5	2	6	7	6	2	5	5	5	6	5	6	4	6	5	2	3	7	7	7	6	4	5	2	7	4	2	6	1	3	1	6	1	6	4	5	6	5	6
CMR23	1	1	5	7	7	6	1	7	5	1	4	1	1	6	5	7	2	5	1	2	1	1	2	3	6	6	1	2	3	7	7	6	2	3	6	7	4	1	5	4	4	1	7	7	1	5	3	7	7	2
