Rater	1.'001Fmoe_ff.jpg'	2.'009FEli_ff.jpg'	3.'010FPop_ff.jpg'	4.'014FFri_ff.jpg'	5.'015FDes_ff.jpg'	6.'016FNat_ff.jpg'	7.'017FSuz_ff.jpg'	8.'019FHan_ff.jpg'	9.'020FJes_ff.jpg'	10.'021FDen_ff.jpg'	11.'022FWin_ff.jpg'	12.'023FAne_ff.jpg'	13.'024FGra_ff.jpg'	14.'025FMem_ff.jpg'	15.'026FBon_ff.jpg'	16.'027FJas_ff.jpg'	17.'028FAma_ff.jpg'	18.'029FRen_ff.jpg'	19.'040FVic_ff.jpg'	20.'045FSam_ff.jpg'	21.'046FNda_ff.jpg'	22.'047FIda_ff.jpg'	23.'052FEmi_ff.jpg'	24.'053FHer_ff.jpg'	25.'054FPhi_ff.jpg'	26.'055FAde_ff.jpg'	27.'056FMar_ff.jpg'	28.'057FEli_ff.jpg'	29.'058FHel_ff.jpg'	30.'059FLyd_ff.jpg'	31.'060FBas_ff.jpg'	32.'067FRei_ff.jpg'	33.'068FNda_ff.jpg'	34.'069FAnn_ff.jpg'	35.'070FHil_ff.jpg'	36.'071FMar_ff.jpg'	37.'072FEve_ff.jpg'	38.'073FEli_ff.jpg'	39.'074FLui_ff.jpg'	40.'075FRos_ff.jpg'	41.'076FIng_ff.jpg'	42.'077FBet_ff.jpg'	43.'078FKat_ff.jpg'	44.'079FSan_ff.jpg'	45.'080FSte_ff.jpg'	46.'082FLen_ff.jpg'	47.'083FVal_ff.jpg'	48.'084FSar_ff.jpg'	49.'085FKri_ff.jpg'	50.'094FSus_ff.jpg'
NAM1	1	3	1	1	1	3	2	4	1	1	1	1	1	1	3	2	1	1	1	1	1	6	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1
NAM2	3	3	3	4	1	4	3	3	3	3	4	1	3	1	2	2	2	2	1	2	3	4	3	1	1	3	1	3	3	2	2	2	3	1	3	4	3	1	3	2	3	1	2	2	2	3	3	3	1	1
NAM3	1	1	2	4	1	1	1	1	1	4	2	1	1	1	1	1	1	1	1	1	4	4	1	1	1	4	1	1	4	1	1	1	1	1	4	1	1	1	4	1	1	1	4	1	1	2	1	1	1	1
NAM4	4	2	2	4	2	5	2	2	3	4	4	2	2	2	3	4	2	2	1	4	2	5	3	2	3	3	1	3	3	3	2	2	3	1	3	3	2	2	4	3	2	2	4	4	1	3	2	4	2	2
NAM6	4	1	1	1	4	4	1	4	4	1	4	4	1	5	4	4	1	1	1	4	1	7	4	4	4	1	5	2	1	1	1	1	5	1	1	1	1	2	1	1	1	4	1	4	3	4	4	4	1	1
NAM7	1	6	1	2	1	7	3	4	1	6	5	2	1	5	1	1	1	6	1	1	3	7	1	3	5	1	2	1	1	3	2	1	1	1	2	1	3	1	3	2	1	2	2	5	4	1	1	3	2	1
NAM8	5	6	4	6	2	7	7	5	6	2	4	3	4	3	5	5	2	1	2	2	3	6	6	5	2	3	3	5	3	1	2	5	3	1	5	4	4	4	5	3	1	2	4	3	3	3	6	6	1	3
NAM9	2	1	4	6	1	6	5	6	3	4	5	1	1	3	1	1	4	4	1	4	3	6	1	5	2	1	3	4	5	2	1	2	1	1	2	1	1	1	2	3	4	3	2	6	3	2	2	6	3	5
NAM10	1	1	3	3	1	7	2	2	4	1	4	2	1	4	1	1	1	1	1	3	1	2	1	1	1	1	1	1	2	3	2	1	1	1	2	1	1	2	2	3	2	1	1	3	2	1	1	2	1	1
NAM11	5	3	3	3	1	3	4	3	7	7	7	5	3	4	2	1	1	1	1	3	6	7	3	3	5	5	2	7	1	5	6	5	4	1	3	4	1	2	5	2	2	3	4	3	1	1	3	5	1	2
NAM12	7	7	7	7	7	7	7	7	7	7	2	7	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	7	6	4	7	7	7	7	1	7	1	7	7	7	7	7	7	7	7	7	7
NAM13	5	2	2	5	2	7	7	3	3	6	5	3	5	7	2	1	5	3	1	7	4	7	1	4	7	4	2	3	6	2	1	3	3	3	3	4	1	2	3	6	2	2	7	4	4	1	2	3	2	4
NAM14	2	1	3	3	3	4	5	3	3	3	3	3	1	3	2	3	1	1	1	2	3	5	2	2	3	2	1	3	3	3	3	1	4	2	4	3	3	2	4	2	3	1	3	2	3	1	4	4	5	2
NAM15	5	7	6	6	3	7	7	7	5	7	7	4	6	6	4	5	3	6	4	6	6	7	4	4	4	5	5	5	5	7	5	5	7	4	6	4	4	4	6	5	6	4	6	5	3	6	6	7	5	6
NAM16	2	4	3	2	1	5	4	4	4	5	3	2	3	3	1	4	1	4	1	3	2	6	2	2	4	2	4	4	2	2	2	3	3	2	2	1	2	2	2	3	2	1	4	2	1	5	6	6	3	4
NAM17	4	3	3	4	2	5	3	2	2	4	4	2	3	3	3	3	1	3	2	2	4	3	2	3	3	3	2	4	3	3	2	2	4	1	2	2	3	2	4	3	4	2	4	4	2	4	2	4	2	3
NAM18	2	2	2	4	1	4	3	2	3	3	2	1	3	2	1	2	1	2	1	2	2	3	1	1	1	2	2	2	2	3	1	1	2	1	2	2	1	1	4	1	3	1	2	3	1	5	2	4	1	1
NAM19	3	5	1	6	1	6	3	3	1	4	2	3	2	3	2	4	2	2	1	2	2	3	6	2	2	2	2	4	2	5	4	2	5	2	4	1	3	3	4	3	3	2	3	4	2	6	3	4	2	3
NAM20	4	5	5	5	5	4	5	7	5	7	5	4	4	4	4	5	5	7	6	5	7	5	5	6	5	5	5	6	4	5	6	4	6	4	5	5	6	5	6	6	4	3	4	3	3	7	5	5	4	5
