Rater	Fro1898	Fro1904	Fro1907	Fro1915	Fro1922	Fro1929	Fro1932	Fro1945	Fro1950	Fro1951	Fro1986	Fro1991	Fro1993	Fro1994	Fro2007	Fro2395	Fro2400	Fro2412	Fro2414	Fro2416	Fro2417	Fro2424	Fro2427	Fro2430	Fro2432	Fro2435	Fro2440	Fro2442	Fro2453	Fro2460	Fro2467	Fro2478	Fro2485	Fro2489	Fro2490	Fro2523	Fro27	Fro29	Fro32	Fro35	Fro43	Fro44	Fro45	Fro46	Fro47	Fro51	Fro65	Fro75	Fro77	Fro83
RO1	2	3	1	1	2	3	1	3	3	1	2	3	1	2	2	1	1	1	1	2	2	3	2	1	1	1	4	2	2	3	1	1	4	2	1	5	2	1	1	2	1	1	1	3	1	2	3	1	1	1
RO2	2	2	1	2	2	2	2	1	2	2	1	1	1	1	3	3	2	1	1	1	2	1	2	2	1	1	3	2	1	2	1	1	2	2	1	3	1	1	1	2	1	1	3	3	2	3	3	1	1	1
RO3	2	3	2	4	1	2	4	3	4	3	3	2	3	2	2	3	1	1	2	2	2	1	4	3	1	3	3	3	2	4	2	2	2	2	1	4	2	3	2	1	2	3	2	3	2	2	2	1	2	1
RO4	2	3	5	5	4	3	3	3	5	4	3	5	4	3	4	5	5	3	5	6	3	3	5	6	5	3	5	4	4	5	3	3	5	5	2	6	2	2	2	3	2	3	2	5	2	3	2	2	4	3
RO5	1	2	1	2	1	2	1	2	4	1	1	1	1	1	2	1	1	2	1	1	2	1	2	2	2	2	3	1	2	1	1	2	1	2	1	3	1	1	1	1	2	1	2	1	1	1	1	1	1	1
RO6	2	2	1	4	1	3	3	3	1	1	1	1	3	2	2	1	1	1	1	1	1	1	5	1	1	2	3	2	3	1	2	1	1	2	1	1	1	1	1	1	1	4	1	2	1	1	1	1	1	1
RO7	1	5	2	3	1	5	4	3	5	3	2	2	2	3	2	5	2	2	2	3	2	3	3	4	2	3	5	4	3	3	2	2	4	2	1	4	2	2	2	2	3	2	2	4	2	3	4	2	2	3
RO8	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	4	1	1	1	1	4	1	2	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RO9	1	1	1	4	1	1	3	3	3	1	3	1	1	1	2	1	1	1	1	1	2	3	4	6	1	1	3	4	1	3	1	1	2	1	1	5	1	1	1	1	1	1	1	2	1	2	1	1	2	1
RO10	2	6	3	5	3	3	3	4	5	3	4	5	2	4	5	4	2	3	2	4	3	5	5	5	2	4	5	4	5	5	3	3	5	3	1	4	5	4	3	4	4	3	3	6	3	4	5	1	3	3
RO11	1	4	3	1	1	2	4	2	2	1	3	2	1	3	2	2	1	1	1	1	2	1	3	4	1	2	3	3	1	2	1	1	2	2	1	5	1	1	1	1	1	3	1	1	1	2	3	1	2	2
RO12	1	4	4	4	2	5	4	3	6	4	5	4	3	2	5	4	4	3	1	4	3	4	4	5	3	4	5	6	2	4	2	4	1	3	2	6	2	4	2	3	2	1	2	6	1	4	3	1	1	1
RO13	1	5	6	2	2	6	5	2	5	1	5	3	1	3	4	2	1	2	1	2	1	1	3	6	2	1	4	6	3	6	1	2	2	2	1	5	2	1	1	3	1	3	1	2	3	3	6	1	2	1
RO14	2	3	4	4	2	5	3	3	4	4	3	3	4	3	4	3	3	3	3	3	3	4	5	4	3	4	5	4	4	4	2	3	3	4	2	5	2	3	3	2	2	3	3	3	2	3	4	2	3	2
RO15	1	4	1	2	3	6	4	2	4	2	3	2	2	3	1	4	2	1	1	2	2	6	4	4	1	2	4	4	1	5	1	2	1	1	1	5	1	2	1	3	1	1	1	3	1	2	2	1	2	1
RO16	1	5	1	3	1	2	4	2	5	1	1	1	1	2	6	2	1	2	2	4	2	2	1	2	1	3	7	1	1	5	1	1	5	1	1	2	1	2	1	2	2	3	1	3	1	1	5	1	1	1
RO17	2	2	2	2	2	3	2	1	6	2	4	2	1	4	2	4	1	2	1	1	1	2	2	3	2	2	6	6	3	1	1	4	4	1	1	5	1	1	1	4	2	1	2	3	3	6	2	1	2	1
RO18	1	3	3	1	2	1	4	1	6	2	5	1	1	3	1	2	3	1	1	1	2	4	4	5	1	1	2	6	2	4	3	3	2	1	1	6	1	3	1	2	1	1	1	2	1	1	2	1	2	2
RO19	2	5	3	3	1	5	1	2	5	2	3	2	1	1	1	2	1	1	1	2	2	2	4	2	1	1	4	5	3	3	2	1	1	2	1	5	1	2	1	2	1	2	1	3	1	2	3	1	2	1
RO20	2	4	3	3	3	5	3	2	5	3	3	3	3	2	2	4	2	3	2	2	3	3	4	4	2	3	4	5	4	3	2	3	2	3	2	4	2	2	2	2	2	3	2	4	2	4	3	1	2	2
RO21	3	4	3	4	3	4	4	4	4	5	4	4	4	4	3	2	3	4	4	3	5	3	4	3	3	4	6	5	4	4	3	3	4	2	2	5	2	3	3	4	3	4	2	4	2	4	3	2	5	2
RO22	3	4	4	4	4	5	4	4	5	5	4	4	3	3	4	3	2	3	4	4	4	4	4	4	3	4	5	4	4	4	3	4	3	3	4	5	4	3	3	3	3	4	3	5	3	4	3	4	4	3
RO23	2	1	2	2	2	3	2	1	5	1	3	2	2	3	2	6	2	2	3	4	2	3	2	4	1	4	2	4	3	2	3	2	3	3	3	3	2	1	1	4	2	2	1	1	2	3	2	1	2	1
RO24	1	1	1	1	1	5	2	1	6	1	3	1	1	1	1	4	1	1	1	1	1	4	1	3	1	1	6	6	1	4	1	1	1	2	1	6	1	1	1	1	1	2	1	1	1	3	1	1	1	1
RO25	1	2	2	2	2	2	2	3	5	2	3	3	2	3	3	5	1	1	1	3	4	6	3	4	1	1	4	3	2	5	1	1	3	4	1	4	3	3	3	3	1	4	1	4	1	3	1	1	2	1
RO26	1	4	2	3	2	3	1	2	4	1	3	1	1	1	2	3	3	1	1	2	2	3	2	4	2	1	4	4	2	3	1	2	2	2	1	4	2	2	1	2	1	2	1	3	1	2	1	1	1	1
RO27	3	4	4	4	2	4	1	3	4	3	3	3	3	2	5	2	2	3	2	2	3	3	4	2	3	2	5	4	4	5	2	3	3	4	2	4	2	3	1	3	2	4	3	5	1	3	3	2	3	1
RO28	2	3	2	4	2	3	3	2	2	3	3	3	2	3	3	2	2	2	2	3	3	4	4	3	3	2	3	3	3	3	2	3	5	3	2	2	2	3	3	4	2	3	2	3	3	3	2	2	2	2
RO29	1	1	1	1	1	1	1	2	5	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RO30	1	2	3	2	1	1	2	2	3	2	2	2	1	2	2	1	1	2	1	1	2	2	2	2	1	1	3	3	2	4	1	1	1	2	1	3	1	1	2	2	1	2	1	2	1	2	1	1	1	1
RO31	2	3	4	2	2	3	3	3	4	3	4	4	2	3	3	3	3	2	2	2	5	3	3	6	2	2	4	4	3	4	3	3	3	4	2	5	2	2	3	3	2	3	2	4	1	3	3	2	3	3
RO32	1	3	2	4	4	3	2	1	4	1	1	1	1	1	1	5	1	1	1	3	1	3	2	6	1	2	2	4	1	6	1	1	2	1	1	4	3	1	1	1	1	3	1	3	1	2	4	1	2	2
RO33	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	3	1	1	1	1	1	1	2	3	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1	2	2	1	1	1
