Rater	Mro10	Mro11	Mro12	Mro13	Mro16	Mro1901	Mro1919	Mro1939	Mro1940	Mro1947	Mro1958	Mro1960	Mro1962	Mro1964	Mro1966	Mro1971	Mro1981	Mro1997	Mro2002	Mro23	Mro2396	Mro2402	Mro2407	Mro2408	Mro2419	Mro2422	Mro2458	Mro2462	Mro2465	Mro2469	Mro2472	Mro2482	Mro2494	Mro2497	Mro2509	Mro2514	Mro2516	Mro2517	Mro2527	Mro26	Mro39	Mro40	Mro49	Mro54	Mro63	Mro68	Mro76	Mro79	Mro81	Mro82
RO1	2	2	4	3	2	3	4	5	3	4	3	4	3	4	5	4	4	3	3	2	4	1	3	3	5	3	2	2	2	3	4	2	2	5	2	2	5	5	5	2	2	3	2	3	2	3	3	5	2	3
RO2	1	2	3	1	2	2	2	3	3	2	3	6	2	3	1	4	4	1	3	2	2	3	2	2	2	3	2	2	1	1	3	3	3	6	2	2	2	5	5	4	1	3	4	2	2	2	2	3	1	2
RO3	2	2	2	1	1	1	3	4	4	3	1	3	1	3	2	3	2	1	1	1	1	1	4	1	2	1	1	2	1	1	4	2	1	5	1	1	2	5	5	1	1	5	2	1	1	1	4	4	1	5
RO4	6	3	3	3	3	4	4	5	2	3	1	3	4	4	4	5	4	3	5	3	2	1	3	2	3	2	2	4	2	2	3	4	1	6	1	3	4	3	5	4	2	3	4	1	1	2	4	6	1	3
RO5	4	4	3	3	1	2	2	2	2	3	2	3	2	3	4	5	3	2	4	2	1	1	3	2	3	4	1	2	2	2	4	3	1	3	2	1	4	3	5	1	4	2	2	2	2	3	4	4	2	2
RO6	2	2	3	1	1	1	1	1	3	1	1	2	1	1	3	3	2	1	3	1	1	1	2	2	1	1	1	1	1	1	2	1	1	5	1	1	1	3	3	1	1	1	2	2	3	2	1	2	1	2
RO7	1	1	4	1	1	1	1	2	1	3	1	2	1	2	1	2	4	1	3	1	1	1	1	1	3	6	3	1	1	1	2	3	1	5	1	1	1	4	6	1	1	1	1	1	1	1	2	4	1	2
RO8	3	2	4	3	1	1	3	2	3	3	2	3	2	2	3	4	4	2	2	1	2	1	4	2	3	3	2	2	1	3	5	3	3	4	2	2	2	2	5	1	2	2	2	4	1	2	3	3	1	1
RO9	2	4	3	2	1	1	3	6	3	6	1	5	3	4	7	5	2	2	2	1	4	1	3	3	4	4	3	1	1	2	5	4	2	7	1	1	2	6	3	2	1	1	2	2	3	2	1	5	1	4
RO10	1	3	5	1	1	1	2	5	4	6	2	3	2	2	4	5	2	1	3	1	2	1	3	4	4	6	2	1	2	2	5	2	2	5	3	1	6	4	6	1	5	2	1	3	1	2	3	4	1	1
RO11	4	5	5	4	3	4	4	4	6	4	4	5	4	5	5	5	4	2	3	4	3	3	4	4	5	5	4	4	3	4	4	5	4	5	3	3	5	5	4	3	5	4	4	4	4	4	4	5	4	4
RO12	2	2	2	2	1	3	4	5	5	4	4	5	3	3	6	5	4	3	3	1	2	1	3	3	2	4	2	3	2	1	5	4	2	5	3	4	2	5	4	1	4	4	3	2	4	2	4	5	1	4
RO13	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	2	2	1	1	1	1	1	1	2	2	1	3	1	2	1	1	3	1	1	1	1	1	1	1	2	2	1	1
RO14	2	2	2	2	2	2	3	5	3	3	3	3	3	4	5	5	4	2	3	2	4	2	2	2	5	2	3	2	2	2	3	2	3	3	2	2	3	5	4	3	2	2	3	2	2	2	3	3	2	3
RO15	5	1	6	1	1	1	4	4	3	1	3	2	4	5	5	3	4	4	4	1	2	1	3	1	5	3	4	1	1	1	3	2	3	4	1	1	2	1	5	1	4	3	3	4	4	5	1	6	1	2
RO16	4	1	5	1	1	3	1	4	3	1	3	3	4	4	6	4	5	3	4	1	1	1	3	1	4	2	4	1	1	1	2	1	2	5	2	1	2	3	5	4	3	1	1	4	1	4	1	6	1	1
RO17	1	1	2	1	1	1	1	2	1	2	1	2	2	4	2	5	2	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	2
RO18	3	4	2	1	2	2	2	3	2	5	3	5	2	3	2	6	3	2	4	1	1	1	3	2	2	5	3	3	1	3	6	7	2	6	3	3	3	4	4	2	4	2	2	2	1	2	3	5	1	4
RO19	1	2	1	1	1	1	3	1	1	3	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RO20	4	4	1	1	1	3	1	3	5	6	3	4	3	5	6	6	3	1	4	1	2	1	3	3	5	7	2	1	1	1	4	5	1	6	1	1	4	3	7	2	1	2	2	1	3	1	2	6	1	2
RO21	3	2	2	1	1	1	2	1	1	3	1	3	1	2	2	4	2	1	2	1	1	1	1	1	2	6	2	2	1	1	1	1	1	2	1	2	3	4	3	2	1	1	1	1	2	1	1	3	1	1
RO22	1	1	1	1	1	1	4	1	1	3	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	3	4	4	4	1	1	4	1	1	1	1	1	1	1
RO23	3	5	4	5	4	2	2	5	4	5	3	5	4	4	4	6	5	4	5	3	3	2	4	4	3	4	4	4	4	4	4	6	2	6	2	2	5	5	4	4	3	2	3	3	3	1	4	6	4	3
RO24	1	1	3	1	1	3	2	5	3	5	5	4	6	7	7	6	5	1	4	1	2	1	5	5	6	6	4	1	1	1	6	4	4	5	1	2	5	6	4	4	1	1	1	1	1	1	1	2	1	2
RO25	4	3	2	2	1	1	4	3	5	2	1	2	4	4	4	3	1	1	2	1	1	1	3	1	1	7	1	3	1	1	5	1	2	5	1	1	3	5	1	1	1	1	1	1	1	1	1	6	1	1
RO26	2	1	2	1	1	2	2	2	2	3	1	1	2	3	3	4	2	1	2	1	1	1	1	2	3	2	1	1	1	1	1	3	1	3	1	1	3	2	3	1	1	2	2	1	2	1	1	2	1	1
RO27	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1
RO28	1	3	1	1	1	1	3	3	2	1	1	3	2	3	3	4	4	1	1	1	1	1	2	1	3	1	1	2	1	1	1	3	1	5	1	1	3	4	4	4	2	1	1	1	1	1	3	1	1	4
RO29	2	4	5	2	2	4	4	5	6	5	3	6	3	4	5	6	3	1	4	1	2	2	3	2	3	5	4	2	1	2	6	5	2	7	2	2	5	3	3	2	3	2	2	1	3	3	4	6	2	3
