Rater	M_2_ATTR	M_4_ATTR	M_6_ATTR	M_7_ATTR	M_8_ATTR	M_9_ATTR	M_10_ATTR	M_11_ATTR	M_12_ATTR	M_13_ATTR	M_15_ATTR	M_16_ATTR	M_18_ATTR	M_28_ATTR	M_31_ATTR	M_36_ATTR	M_44_ATTR	M_54_ATTR	M_55_ATTR	M_57_ATTR	M_77_ATTR	M_78_ATTR	M_79_ATTR	M_88_ATTR	M_90_ATTR	M_93_ATTR	M_96_ATTR	M_103_ATTR	M_119_ATTR	M_121_ATTR	M_122_ATTR	M_140_ATTR	M_141_ATTR	M_142_ATTR	M_143_ATTR	M_145_ATTR	M_146_ATTR	M_147_ATTR	M_149_ATTR	M_161_ATTR	M_166_ATTR	M_168_ATTR	M_175_ATTR	M_191_ATTR	M_193_ATTR	M_202_ATTR	M_203_ATTR	M_209_ATTR	M_210_ATTR	M_217_ATTR	M_223_ATTR	M_224_ATTR	M_225_ATTR	M_230_ATTR	M_240_ATTR	M_241_ATTR	M_247_ATTR	M_249_ATTR	M_250_ATTR	M_251_ATTR	M_252_ATTR	M_267_ATTR	M_268_ATTR	M_289_ATTR	M_290_ATTR	M_291_ATTR	M_293_ATTR	M_296_ATTR	M_313_ATTR	M_314_ATTR	M_317_ATTR	M_318_ATTR	M_319_ATTR	M_322_ATTR	M_324_ATTR	M_327_ATTR	M_337_ATTR	M_348_ATTR	M_356_ATTR	M_358_ATTR	M_372_ATTR	M_400_ATTR	M_401_ATTR	M_407_ATTR	M_409_ATTR	M_410_ATTR	M_411_ATTR	M_413_ATTR	M_417_ATTR	M_422_ATTR	M_437_ATTR	M_440_ATTR	M_443_ATTR	M_448_ATTR	M_458_ATTR	M_459_ATTR	M_462_ATTR	M_463_ATTR	M_476_ATTR	M_477_ATTR	M_483_ATTR	M_496_ATTR	M_499_ATTR	M_500_ATTR	M_501_ATTR	M_506_ATTR	M_507_ATTR	M_510_ATTR	M_515_ATTR	M_516_ATTR	M_517_ATTR	M_520_ATTR	M_528_ATTR	M_529_ATTR	M_540_ATTR
TUR1			2																				3							1																								2											1					2																										1																	1		
TUR2														4			1																												6					4															3										1				1																			1																	
TUR3		4																									1									1																														1					1											1																									5		5						
TUR4			5					3																1							3							5																												1													3																																2				
TUR5			6		5																														4							2					6													2																									1																										2				
TUR6														3																	2													1							1								1																															1			2										1												
TUR7													2																																				2			2												3		2							2																						4																			3	
TUR8							1										1		1						1						1						1									3								2																																																													
TUR9							5						2								1	5																						3																													1														1											1																	
TUR10				1																																1	6																						4			1		6											1	5																																							
TUR11											1																														3			3															1										1																																						5		6	1					
TUR12													1			5													1				2	3																																											3							1																		1													
TUR13						1																														1																							1						1							5	6	2											2																														
TUR14								3																																																													3										3				4												5			3																	2
TUR15																																					6	4				1																										6																	5		2														1													4	
TUR16																				4										4										3								5																																										3													3												3
TUR17														4				3																	5		2																																								4																										2								2			3	
TUR18				2	1		1																										1																																																			1										2						3									4						
TUR19										4									1						6																																		3					5							4																																								3	7			
TUR20							4					4																																				4																					4			4																	4																				4						
TUR21																										4																2																		1													7							2		4																			2				6										
TUR22									2						5												2																					4												3																															2					2							3												
TUR23	1																									1																															4																					6			1				1				4											7															
TUR24				3						2																4										2	4													2					4																																		3																										
TUR25					3									5																											6							5								4				3																																		5												4									
TUR26																																2				2																				4			3																											3			5												2														
TUR27			4																																																						4												2		3													3								4		3																					
TUR28				1						1					1					4																													1																																														2					2			1												
TUR29		1								1											2																					1				1																				2																																				1		2											
TUR30																						3																								6													3											6																			2	2									3																2
TUR31		6																	3																											6																3												3	2																																						4	4	
TUR32																	1												1											1						1	1																													1							1																								1								
TUR33			1																						1															1																												1								3																	3									1													
TUR34	2																			5																																			2		5									2															3																									2							5		
TUR35															1		5																		6														1																				1																					1															1									1	
TUR36																	3														6										1																																																													1	1			1			3						
TUR37								3							3						3			4																																						2		5									6																																						6				
TUR38																																					1																											2			1						3												1								4	2																					
TUR39																		1													1										1								1												1											1																						1						1															
TUR40												1																		1		1																						1					1		1																																					1						1											
TUR41												2								1																										1									1																									1											1				2								1												
TUR42																			1		1																																				4		2			1						5							1					3																																			
TUR43	4																																					3							6	6																												3				4										4		4																									
TUR44						3																	5																			2				6				3																									3	5																																					5		
TUR45								5																																				5																						1	3		2												2																												3	6					
TUR46													2				2																							2		1																																	1	1						1																		2															
TUR47														2											2																		2																													1																2	2		2																								
TUR48					1	1			1																								4												4			4																	1																														5																				
TUR49			4																			2					2																																				4				2																3									5						1																	
TUR50							2								2																		4						3												1					3																																																1							2				
TUR51														2				2															2					2																2							1																		2																	2																			
TUR52	1																					2				6																																													6						4																									3				2				1					
TUR53	2												2																						3												7											4																																			4																		2				
TUR54		4																5																									3	2							1					2																				4																		2																					
TUR55		1																										1						1									1					6									1					1																																																					
TUR56		4																	1							4									4								1																																							2																									4								
TUR57													2												3													5			4								4			2						6		2																																																							
TUR58																																															5												1	1								2																1															5								5								
TUR59										2					1										2									1																										1													3						1																															1					
TUR60										3				3																																									3																							3										3					4							3					2										
TUR61				1										1								1																																													1												1																				1				1	1											
TUR62													1										1											1																																					1			1																			6												1					7					
