Rater	m001	m004	m005	m008	m010	m015	m021	m023	m024	m025	m026	m031	m032	m036	m040	m045	m046	m053	m057	m059	m060	m062	m069	m074	m079	m080	m083	m085	m087	m090	m096	m101	m103	m106	m108	m109	m110	m111	m113	m115	m121	m124	m126	m127	m128	m129	m130	m131	m138	m140
UK1_MEN	4	3	4	5	4	5	4	6	4	3	3	2	4	4	3	4	5	6	4	3	4	6	5	3	4	3	6	4	4	6	3	4	6	4	2	3	4	4	4	3	3	7	4	2	3	4	4	3	5	2
UK2_MEN	4	4	5	5	5	6	4	7	4	5	2	2	4	5	3	3	7	7	4	3	4	6	5	4	4	5	6	6	3	7	3	5	7	3	1	4	5	4	4	3	2	7	4	1	4	2	5	4	5	1
UK3_MEN	3	2	2	3	2	3	3	4	3	2	3	2	3	2	2	3	3	4	3	2	3	3	3	3	2	2	4	4	3	4	3	3	4	2	2	2	3	3	3	2	3	5	3	1	2	2	4	2	4	1
UK4_MEN	4	5	4	4	6	6	4	6	5	4	2	2	3	5	4	6	5	6	4	4	4	6	5	4	5	7	7	4	6	5	3	5	6	3	3	3	4	5	3	3	3	7	4	2	3	4	5	3	5	1
UK5_MEN	2	2	2	4	3	4	3	4	3	2	2	2	2	3	2	2	4	5	2	2	2	4	3	2	2	2	4	2	2	4	2	2	4	3	2	2	3	2	2	2	2	5	3	1	3	2	3	2	3	1
UK6_MEN	1	2	1	2	2	3	2	3	2	1	1	1	2	2	2	2	3	3	2	2	2	3	2	2	2	2	3	2	2	3	1	1	3	2	1	2	2	2	2	1	1	3	2	1	2	2	3	2	3	1
UK7_MEN	3	2	3	3	3	4	3	4	3	2	2	1	3	3	2	2	4	4	3	2	3	5	3	3	2	3	4	3	3	4	2	3	5	2	2	2	2	3	2	2	3	6	2	1	2	2	3	3	3	1
UK8_MEN	4	4	4	4	5	5	4	6	4	4	3	3	4	5	4	4	5	5	4	4	3	5	5	4	4	4	5	4	4	6	4	4	6	3	2	4	5	4	3	4	4	6	4	3	5	4	5	4	5	3
UK9_MEN	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
UK10_MEN	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	4	3	2	3	3	3	3	3	3
UK11_WOMEN	5	4	4	7	2	5	3	5	4	3	1	3	2	3	1	2	6	5	4	3	3	3	5	5	3	3	5	3	4	4	3	4	5	5	2	2	3	3	2	3	3	5	4	2	3	5	1	2	2	2
UK12_WOMEN	2	1	2	3	2	3	1	1	1	2	2	1	2	1	2	2	1	3	1	2	2	2	2	4	2	2	1	1	2	3	1	1	3	3	1	2	2	3	2	2	2	2	4	2	2	2	2	1	3	2
UK13_WOMEN	4	1	3	3	1	3	1	3	1	1	1	1	4	1	1	1	1	4	1	1	1	1	5	1	1	2	1	1	1	3	1	1	4	1	1	1	4	1	1	1	1	2	1	1	1	3	1	4	1	1
UK14_WOMEN	4	4	2	5	3	5	4	4	3	2	1	3	5	2	3	1	4	5	2	3	4	5	3	2	3	3	5	2	4	4	2	3	5	3	2	2	2	3	3	3	2	6	6	1	2	5	2	2	3	1
UK15_WOMEN	5	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	3	1	1	1	1	5	1	1	1	2	1	1	1	1	1	2	1	1	2	1	4	2	1	1	1	4	1	2	1
UK16_WOMEN	2	3	2	2	2	3	2	3	2	2	2	2	2	1	2	2	2	2	2	3	2	3	2	2	2	3	3	2	2	3	2	1	3	2	1	1	2	2	3	2	1	3	4	2	2	3	1	2	2	1
UK17_WOMEN	4	7	5	5	6	4	1	4	5	1	1	2	3	4	4	1	6	7	1	4	2	6	6	3	2	3	2	5	4	2	2	5	5	2	2	2	3	4	1	1	1	7	4	3	3	5	4	1	5	1
UK18_WOMEN	4	2	5	5	6	3	5	2	3	1	1	4	5	2	2	2	5	5	3	2	5	5	5	5	3	1	2	2	1	5	1	3	5	3	2	2	1	1	1	2	1	6	7	1	1	5	1	2	5	1
UK19_WOMEN	4	6	5	7	5	4	2	5	3	2	3	3	3	6	2	3	5	7	3	3	5	5	5	2	5	4	3	3	2	3	2	2	5	3	2	2	2	3	2	5	2	7	6	1	3	5	6	2	4	2
UK20_WOMEN	5	3	5	5	6	7	6	6	5	5	3	4	7	2	3	3	6	6	6	6	4	7	6	5	4	5	4	3	3	6	1	3	7	5	2	5	6	5	4	1	2	7	6	2	2	7	2	2	3	1
UK21_WOMEN	2	1	1	2	3	2	3	3	2	1	2	1	3	1	3	3	2	2	1	2	1	2	3	1	2	1	2	2	2	3	2	2	4	1	3	2	2	2	1	1	2	4	2	2	2	4	2	3	2	1
