nam	block	ofs	dependent		predictor	condition	plot	col	hex	table
rater_a_s	1		Attractiveness	~	Intercept	[rater]	T	3	00FF80	1
rater_bST_s	1		Attractiveness	~	Sex-typicality	[rater]	T	3		1
rater_bAs_s	1		Attractiveness	~	Asymmetry	[rater]	T	3		1
rater_bD_s	1		Attractiveness	~	Distinctiveness	[rater]	T	3		1
target_s	1	1	Attractiveness	~	Intercept	[target]	T	4	FF00CC	1
a_F_s	1	1	Attractiveness	~	Intercept	[women]	T	1	FFA321	1
a_M_s	1		Attractiveness	~	Intercept	[men]	T	2	00AAFF	1
bST_F_s	1	0.3	Attractiveness	~	Sex-typicality	[women]	T	1		1
bST_M_s	1		Attractiveness	~	Sex-typicality	[men]	T	2		1
bAs_F_s	1	0.3	Attractiveness	~	Asymmetry	[women]	T	1		1
bAs_M_s	1		Attractiveness	~	Asymmetry	[men]	T	2		1
bD_F_s	1	0.3	Attractiveness	~	Distinctiveness	[women]	T	1		1
bD_M_s	1		Attractiveness	~	Distinctiveness	[men]	T	2		1
