nam	block	ofs	dependent		predictor	condition	plot	col	hex	table
a_F_s	1		Attractiveness	~	Intercept	[woman]	T	1	FFA321	1
a_M_s	1		Attractiveness	~	Intercept	[man]	T	2	00AAFF	1
bST_F_s	1	0.3	Attractiveness	~	Sextypicality	[woman]	T	1		1
bST_M_s	1		Attractiveness	~	Sextypicality	[man]	T	2		1
bAs_F_s	1	0.3	Attractiveness	~	Asymmetry	[woman]	T	1		1
bAs_M_s	1		Attractiveness	~	Asymmetry	[man]	T	2		1
bD_F_s	1	0.3	Attractiveness	~	Distinctiveness	[woman]	T	1		1
bD_M_s	1		Attractiveness	~	Distinctiveness	[man]	T	2		1
bH_F_s	1	0.3	Attractiveness	~	Height	[woman]	T	1		1
bH_M_s	1		Attractiveness	~	Height	[man]	T	2		1
bBMI_F_s	1	0.3	Attractiveness	~	BMI	[woman]	T	1		1
bBMI_M_s	1		Attractiveness	~	BMI	[man]	T	2		1
residuals_s	1	1	Attractiveness	~	Residuals of Attr.	 	T	3	800080	1
